alg,process,size,time
cannon,1,504,253.000000
cannon,4,504,90.000000
cannon,9,504,55.000000
cannon,1,1002,2156.000000
cannon,4,1002,623.000000
cannon,9,1002,331.000000
cannon,1,1500,8126.000000
cannon,4,1500,2348.000000
cannon,9,1500,1142.000000
cannon,1,2004,27084.000000
cannon,4,2004,8060.000000
cannon,9,2004,3179.000000
cannon,1,2502,72711.000000
cannon,4,2502,20119.000000
cannon,9,2502,7271.000000
